epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.50851,1.66352,6.47898,0.01539,0.05556,0.05556,0.06917,0.05533,2.01023,4.1936,0.01918,1.176e-05,1.176e-05,1.176e-05
2,6.04096,1.68013,6.19651,0.01394,0.00617,0.05556,0.02907,0.02326,1.96688,4.19565,0.01901,2.88179e-05,2.88179e-05,2.88179e-05
3,6.65321,1.76332,6.95663,0.01688,0.00419,0.11111,0.05883,0.04693,1.92793,4.19546,0.01869,4.51772e-05,4.51772e-05,4.51772e-05
4,7.25715,1.62902,6.29585,0.01316,0.00129,0.11111,0.05944,0.04775,1.85803,4.18907,0.01834,6.0838e-05,6.0838e-05,6.0838e-05
5,7.84966,1.6926,6.76737,0.0155,0.00084,0.11111,0.06241,0.05021,1.85677,4.15252,0.01857,7.58003e-05,7.58003e-05,7.58003e-05
6,8.35837,1.62383,6.66659,0.01254,0.00037,0.11111,0.06194,0.05532,1.67178,4.15956,0.01654,9.0064e-05,9.0064e-05,9.0064e-05
7,8.86389,1.47435,5.86316,0.01032,0.0003,0.11111,0.06426,0.05739,1.62158,4.09872,0.01585,0.000103629,0.000103629,0.000103629
8,9.44985,1.36993,5.863,0.0099,0.00026,0.11111,0.06735,0.06067,1.48998,4.09134,0.01412,0.000116496,0.000116496,0.000116496
9,9.95794,1.43545,5.93489,0.0097,0.05577,0.12698,0.10274,0.07296,1.41555,4.06269,0.01259,0.000128664,0.000128664,0.000128664
10,10.5647,1.82311,6.86849,0.01498,0.03115,0.28571,0.10891,0.07523,1.32416,4.04228,0.01197,0.000140133,0.000140133,0.000140133
11,11.0967,1.36682,6.34148,0.01058,0.01753,0.34127,0.11957,0.07118,1.3282,4.01076,0.01218,0.000150904,0.000150904,0.000150904
12,11.5889,1.34204,6.6139,0.01068,0.012,0.34127,0.15147,0.09334,1.28859,4.00522,0.0115,0.000160977,0.000160977,0.000160977
13,12.0817,1.39464,5.69291,0.00935,0.00896,0.35714,0.16088,0.1001,1.33104,3.96722,0.01192,0.000170351,0.000170351,0.000170351
14,12.6011,1.55965,6.6734,0.01304,0.00804,0.4127,0.17136,0.11974,1.25845,3.97738,0.01071,0.000179026,0.000179026,0.000179026
15,13.1207,1.35161,5.6647,0.00981,0.00804,0.4127,0.17136,0.11974,1.25845,3.97738,0.01071,0.000187003,0.000187003,0.000187003
16,13.7592,1.32415,5.75987,0.00884,0.00807,0.44444,0.17473,0.13016,1.19439,3.93591,0.01002,0.000194281,0.000194281,0.000194281
17,14.3112,1.29284,5.82719,0.00982,0.00657,0.44444,0.29935,0.23651,1.1961,3.92449,0.01014,0.000200861,0.000200861,0.000200861
18,14.8124,1.18973,5.8496,0.00952,0.00657,0.44444,0.29935,0.23651,1.1961,3.92449,0.01014,0.000206742,0.000206742,0.000206742
19,15.3243,1.31023,5.98891,0.00946,0.00536,0.44444,0.34945,0.28973,1.17053,3.86459,0.0099,0.000211925,0.000211925,0.000211925
20,15.8419,1.2813,5.55884,0.00853,0.00452,0.44444,0.33582,0.28747,1.04191,3.81458,0.00918,0.000216409,0.000216409,0.000216409
21,16.4778,1.09537,5.61125,0.00866,0.00452,0.44444,0.33582,0.28747,1.04191,3.81458,0.00918,0.000220194,0.000220194,0.000220194
22,17.0951,1.36279,5.34854,0.00899,0.00401,0.44444,0.31925,0.27224,1.02386,3.7772,0.00877,0.000223281,0.000223281,0.000223281
